FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.1,001C0001,149490.0,600320.0,3.043,"KORENMOLEN FORMERUM, L.V.INGANG",N,42.0,35.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (149490 600320)
nappeilmerken.2,001C0004,148330.0,601990.0,5.111,ZOMERHUISJE 'SIL' N-EINDE HEEREWG,ZO,-279.0,42.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (148330 601990)
nappeilmerken.3,001C0005,149040.0,602360.0,12.982,"STRAND HTL-REST.FORMERUM AAN ZEE,-EINDE MOLENWG",O,-607.0,50.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (149040 602360)
nappeilmerken.4,001C0006,149050.0,600020.0,3.416,BDR TE LANDEROM (GEM. NO.9),ZW,-44.0,30.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (149050 600020)
nappeilmerken.5,001C0009,148160.0,600570.0,2.924,"TRAFO HEEREWEGG/DUINWEG NABIJ HS,DUINWEG 21",O,26.0,8.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (148160 600570)
nappeilmerken.6,001D0001,150560.0,600580.0,1.424,ZUIVELFB FORMERUM,NW,60.0,25.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (150560 600580)
nappeilmerken.7,001D0002,152000.0,601180.0,2.635,GB 'ONS HUIS' DORPSSTR 29,W,-137.0,45.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (152000 601180)
nappeilmerken.8,001D0003,152630.0,601430.0,3.04,BDR DORPSSTR 99,Z,576.0,46.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (152630 601430)
nappeilmerken.9,001D0012,151220.0,600940.0,1.609,BDR A/D Z-Z V/D WEG TE LIES NR. 48,NW,53.0,15.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (151220 600940)
nappeilmerken.10,001D0014,153500.0,601840.0,3.733,HS NW-Z V/D WEG HOORN-OOSTEREND GEM 5,ZO,53.0,35.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (153500 601840)
nappeilmerken.11,001D0016,155070.0,603650.0,2.929,"SCHROEFANKER (ZIE AANM.SCHETS),X=155068.27 Y=603653.29",,0.0,0.0,SA,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (155070 603650)
nappeilmerken.12,001D0022,154580.0,602020.0,3.617,TRAFO HOOFDWG 59,NW,92.0,14.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (154580 602020)
nappeilmerken.13,001D0032,155899.0,603780.0,3.701,RD STEEN RD= 019111-17,,0.0,0.0,EG,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (155899 603780)
