,X,Y,NUMERIEKEWAARDE,WAARNEMINGDATUM
0,526187,5692072,2.17029490616622,2021
1,526380,5692139,-148.71428571428572,2021
2,530529,5707906,3.2913090128755367,2021
3,530586,5708023,-130.35714285714286,2021
4,538128,5694617,-157.14285714285714,2021
5,538287,5694858,1.4395042800562157,2021
7,541518,5699254,-152.35714285714286,2021
8,544570,5714696,-27.39605734767025,2021
10,546689,5730284,6.801000434971727,2021
11,546744,5730119,-81.92857142857143,2021
12,547219,5718950,2.4535706626635214,2021
13,547224,5718947,-102.71428571428572,2021
14,547230,5718947,-99.42857142857144,2021
15,547517,5718898,4.048573879476732,2021
16,547527,5718895,-64.42857142857143,2021
17,548004,5722993,-92.53571428571428,2021
18,548021,5722952,3.692040017398869,2021
20,548589,5707494,-27.357142857142858,2021
21,552708,5695847,8.871729888816219,2021
23,556017,5733628,9.459669229653272,2021
24,556245,5733151,-66.57142857142857,2021
25,556380,5675741,217.2713393476752,2021
28,556607,5687689,-147.57142857142858,2021
29,557010,5733398,-61.642857142857146,2021
30,557108,5687533,14.478386785369516,2021
31,557114,5687543,-143.64285714285714,2021
32,557117,5733358,-16.214285714285715,2021
33,558209,5682908,213.0,2021
36,559271,5746165,4.39108049311095,2021
37,559821,5710640,-26.714285714285715,2021
39,559971,5710455,-27.142857142857142,2021
40,560002,5710674,-61.5,2021
41,560012,5710671,5.268406742794998,2021
42,560102,5710490,-62.21428571428572,2021
43,567116,5695350,-141.78571428571428,2021
45,567273,5732426,-17.857142857142858,2021
47,568360,5757300,5.0606637074614245,2021
48,569316,5699858,-128.42857142857142,2021
49,569321,5699870,-130.14285714285714,2021
50,569683,5716519,6.492596566523605,2021
52,569978,5699855,18.507238605898124,2021
53,570710,5757331,11.038681039949273,2021
54,571218,5742305,11.05284136203166,2021
57,571389,5694632,-125.92857142857144,2021
56,571389,5694632,17.41783578031539,2021
58,571676,5753731,11.395053899809763,2021
59,574394,5706875,-66.92857142857143,2021
60,574616,5706661,4.315548780487805,2021
61,575133,5757544,12.027055590784189,2021
63,576116,5754686,14.650391037835552,2021
64,576742,5691085,-116.64285714285714,2021
65,576756,5691113,20.37074497009244,2021
66,576843,5717533,7.8282762370853725,2021
67,576844,5717534,-63.71428571428572,2021
68,576917,5759136,14.619195710455765,2021
70,577763,5741589,60.62911704752709,2021
71,578158,5741741,82.71428571428571,2021
72,579010,5723754,-64.92857142857143,2021
73,579147,5723770,8.825643776824034,2021
74,579315,5756869,-13.214285714285714,2021
75,579684,5757231,-12.928571428571429,2021
76,579806,5757030,16.199978543074778,2021
77,580601,5707619,-62.642857142857146,2021
78,580896,5707333,6.79087982832618,2021
79,581080,5692490,22.018066010422697,2021
80,581085,5692456,-107.21428571428572,2021
81,582772,5703850,4.463538363982245,2021
83,583254,5715602,1.5,2021
84,583307,5750805,20.112238427393784,2021
85,584169,5694953,-99.28571428571428,2021
86,584172,5694908,21.17020592020592,2021
87,584558,5750159,11.84717818642993,2021
88,584630,5749656,18.43162122172902,2021
90,585156,5702032,1.2857142857142858,2021
91,585554,5697845,5.421727395411606,2021
93,585865,5694233,-94.64285714285714,2021
94,585869,5752617,-2.357142857142857,2021
95,585924,5694275,-1.0714285714285714,2021
96,585954,5752601,20.526287553648068,2021
98,586153,5695329,190.8571428571429,2021
99,586211,5689294,-103.14285714285714,2021
100,586550,5772806,6.528755364806867,2021
101,586551,5772806,-8.785714285714286,2021
102,586867,5720173,1.9230769230769231,2021
104,588452,5740189,59.06094906399652,2021
107,590045,5746981,23.45625528317836,2021
108,590321,5749819,8.785714285714286,2021
109,590411,5749466,22.90405748098056,2021
110,590594,5680409,25.85483870967742,2021
112,591082,5723262,4.25211097708082,2021
113,591856,5746493,28.6640154772141,2021
114,591891,5746546,18.571428571428573,2021
115,592817,5750735,27.932918321348076,2021
116,592852,5750773,13.714285714285714,2021
118,596628,5726644,3.0,2021
119,597556,5749665,25.213863060016905,2021
121,597907,5676161,-67.3076923076923,2021
122,598252,5728077,60.93906233236777,2021
123,598265,5728060,89.21428571428571,2021
124,600028,5743160,45.71428571428572,2021
126,600742,5751656,26.430896027049872,2021
127,603084,5813700,32.57142857142857,2021
128,603100,5813724,-1.753400906908509,2021
129,603140,5753205,31.10520107238606,2021
131,605632,5813598,31.285714285714285,2021
132,605633,5813598,7.349383378016085,2021
133,608561,5752923,37.52492762946285,2021
136,609009,5814225,33.857142857142854,2021
138,609559,5814278,-44.21428571428572,2021
139,612028,5750170,71.64285714285714,2021
140,612093,5750138,43.05438747049989,2021
141,612111,5729441,61.860851839931335,2021
142,612115,5729455,92.5,2021
143,615152,5742285,84.85714285714286,2021
145,615985,5887091,5.1531512153151215,2021
146,617115,5810626,-41.65700913750836,2021
147,617120,5869664,87.28571428571429,2021
148,617197,5886477,99.78571428571428,2021
149,617198,5869730,5.577310744156122,2021
150,618038,5763166,60.42857142857143,2021
151,618097,5763189,37.14745308310992,2021
152,619404,5869624,90.14285714285714,2021
154,622692,5717366,0.0,2021
155,624049,5878191,8.841218753352644,2021
156,624112,5878437,93.28571428571428,2021
157,626668,5723464,4.714285714285714,2021
159,626849,5723496,72.82747324743394,2021
161,627246,5756327,61.86914482165879,2021
162,627249,5756317,131.35714285714286,2021
163,627268,5723051,517.5,2021
165,627297,5722935,518.0,2021
166,629395,5741131,81.60451855836472,2021
167,629416,5741087,150.14285714285714,2021
169,630857,5731615,68.79501504082509,2021
168,630857,5731615,132.64285714285714,2021
170,632645,5804844,-41.285714285714285,2021
172,633923,5804978,-29.0,2021
174,637382,5866830,99.71428571428572,2021
175,637489,5866613,14.98766094420601,2021
176,637499,5798364,-40.92857142857143,2021
179,637883,5718135,520.2673505019642,2021
181,638000,5718048,772.5714285714286,2021
182,638300,5779027,-38.07142857142857,2021
183,638972,5743176,111.81295511357462,2021
184,638977,5743163,203.14285714285717,2021
185,639387,5907253,3.371284472582895,2021
186,639430,5907184,103.28571428571428,2021
190,640801,5820798,-26.571428571428573,2021
191,640853,5716560,768.1034257036875,2021
193,641030,5716527,1253.928571428571,2021
194,643345,5731092,208.28571428571428,2021
196,644981,5766893,-37.285714285714285,2021
197,645769,5799459,-29.785714285714285,2021
199,646384,5762438,103.52557489791532,2021
200,646404,5762449,243.7142857142857,2021
202,646686,5762070,247.78571428571428,2021
203,646713,5733795,89.4201471542956,2021
204,646714,5733775,219.78571428571428,2021
205,647684,5914923,95.14285714285714,2021
206,647723,5914954,6.389294142887793,2021
207,652169,5758925,309.7857142857143,2021
209,653131,5707532,1261.0259315755063,2021
211,653223,5707510,1500.6827195467422,2021
213,653241,5707542,1500.3148834168665,2021
216,654164,5840393,-26.642857142857142,2021
217,654310,5840559,-16.714285714285715,2021
219,654720,5742862,452.57142857142856,2021
221,654952,5924030,2.440737959884157,2021
222,655016,5922412,121.28571428571428,2021
223,656430,5882780,101.64285714285714,2021
224,656546,5882594,12.236675603217158,2021
226,656615,5882512,-20.142857142857142,2021
227,656857,5733842,292.85714285714283,2021
228,657134,5732245,301.92857142857144,2021
229,657488,5760655,-36.92857142857143,2021
232,661021,5894519,12.622734584450402,2021
233,661069,5734705,152.74477351916377,2021
236,661149,5734534,205.64285714285717,2021
238,661156,5894527,97.64285714285714,2021
240,662708,5728416,342.5,2021
241,662725,5728476,470.6428571428572,2021
243,662953,5730335,199.0078397212544,2021
245,663040,5729985,468.9285714285714,2021
246,664935,5822012,-27.857142857142858,2021
247,665014,5823091,-16.642857142857142,2021
251,665152,5760973,501.2142857142857,2021
253,665657,5761130,508.57142857142856,2021
254,667699,5742683,448.8571428571428,2021
255,667704,5742667,153.5141018766756,2021
257,668611,5793006,-28.642857142857142,2021
258,668689,5793042,-26.0,2021
260,668815,5753095,438.2857142857143,2021
262,668937,5752825,469.3046602787456,2021
265,668974,5724806,468.2142857142857,2021
266,669044,5724751,856.3389312977099,2021
269,669207,5724760,856.9444323382,2021
271,669341,5742692,463.7857142857143,2021
272,675189,5720599,857.7142857142857,2021
274,675291,5720538,1063.142857142857,2021
276,676620,5744906,631.1428571428571,2021
278,677977,5758577,718.1428571428571,2021
281,679052,5831566,-16.142857142857142,2021
282,679172,5717217,1062.928571428571,2021
285,679287,5717072,1277.5384615384614,2021
286,680474,5858515,-22.5,2021
287,680486,5858621,-50.25,2021
289,680972,5753241,881.7142857142857,2021
290,681733,5677849,3569.5714285714284,2021
292,682427,5713146,1277.071428571429,2021
293,682480,5713083,1498.357142857143,2021
294,682542,5858127,-17.857142857142858,2021
298,683288,5923648,88.92857142857143,2021
299,683322,5923626,11.208386958386958,2021
300,684090,5711132,1341.0,2021
302,684146,5711061,1499.071428571429,2021
304,685438,5880657,-48.0,2021
306,685648,5708759,1498.7857142857142,2021
307,685723,5880852,-49.0,2021
308,686097,5680454,3568.285714285714,2021
311,686302,5680561,3364.6428571428573,2021
312,686538,5703031,2069.928571428572,2021
313,686891,5829056,-16.214285714285715,2021
314,686975,5705401,1584.9517783111498,2021
316,687095,5705012,2071.785714285714,2021
318,687640,5739588,788.6428571428571,2021
319,687811,5699650,2070.5714285714284,2021
321,687841,5699509,2264.3571428571427,2021
322,688436,5639314,4023.428571428572,2021
325,688703,5640969,4111.692307692308,2021
331,689271,5626372,4712.428571428572,2021
333,689365,5639150,4164.071428571428,2021
334,689386,5738035,848.4285714285714,2021
335,689652,5697401,2262.285714285714,2021
337,689753,5697307,2510.4464518937743,2021
339,689894,5634222,4500.0,2021
340,689909,5634235,4500.571428571428,2021
341,689921,5638750,4410.222222222223,2021
344,691010,5692400,2509.9551100457616,2021
346,691029,5692257,2706.428571428572,2021
350,691227,5920843,74.5,2021
349,691227,5920843,8.94021973287376,2021
351,691326,5690204,2710.38882827842,2021
353,691347,5690062,2865.435785807575,2021
355,691409,5815602,-27.01285683155372,2021
357,691419,5689746,2865.028515454941,2021
359,691537,5642947,4411.142857142857,2021
360,691684,5645090,3914.857142857143,2021
363,691802,5683735,3361.840052298976,2021
365,691900,5683736,3161.0,2021
366,691997,5650992,4033.0,2021
368,692058,5650900,3359.5,2021
371,692466,5833109,-15.714285714285714,2021
373,692549,5760669,935.5,2021
374,692863,5829443,-9.615384615384617,2021
376,693016,5760958,944.6428571428572,2021
378,693210,5684665,3156.928571428572,2021
379,693472,5656743,2815.665505226481,2021
382,693507,5656800,2828.0272212543555,2021
383,693533,5648764,3748.857142857143,2021
385,693587,5825251,-26.142857142857142,2021
388,693608,5825600,-16.214285714285715,2021
391,693857,5822692,-24.5,2021
392,693863,5822507,-25.071428571428573,2021
393,693997,5659108,2921.785714285714,2021
395,694045,5654179,3143.5714285714284,2021
396,694133,5659116,2909.285714285714,2021
398,696130,5933727,5.663270777479893,2021
400,696163,5664104,2648.928571428572,2021
401,696323,5748468,1056.142857142857,2021
405,697343,5664854,2256.9856240470485,2021
406,697563,5668048,2188.873748367436,2021
408,697723,5738111,914.8571428571428,2021
410,698329,5826410,2.5,2021
413,698819,5668220,2362.714285714286,2021
414,699492,5665530,3280.8571428571427,2021
415,699646,5673334,2869.0714285714284,2021
416,699900,5824163,-21.53846153846154,2021
418,700021,5762290,1073.142857142857,2021
420,700652,5897046,-51.21428571428572,2021
421,701647,5838418,-19.428571428571427,2021
423,702209,5690100,3151.6428571428573,2021
424,702228,5690141,3125.0,2021
426,702694,5760693,851.6862088218872,2021
428,702912,5760277,1103.2142857142858,2021
430,703006,5759763,1128.071428571429,2021
432,703466,5761861,1091.7142857142858,2021
433,703613,5757759,1152.7142857142858,2021
436,703654,5922028,100.35714285714286,2021
437,703957,5673271,2098.214285714286,2021
439,704043,5673502,1782.357142857143,2021
442,704307,5731476,1067.428571428571,2021
444,705196,5835766,-12.857142857142858,2021
446,705544,5725784,1170.642857142857,2021
447,705788,5671745,1979.4285714285716,2021
452,707301,5822002,138.07142857142858,2021
454,707323,5822136,-4.428571428571429,2021
455,707907,5724461,1220.357142857143,2021
