,X,Y,2015,2016,2017,2018,2019,2020,2021,2022
0,526187,5692072,4.282075671105474,2.092676740991229,-1.5353972950126795,3.561284868977177,2.934157683365039,2.706796321741888,2.17029490616622,-2.0558021559923905
1,530529,5707906,6.475480870851828,3.811793300221917,0.2625739644970414,5.206360946745562,4.352039737898965,4.433872502378687,3.2913090128755367,0.3699006552525893
2,538287,5694858,7.072277545775779,5.652462526766596,0.2267665952890792,5.538115631691649,5.314915943891209,4.08801798907806,1.4395042800562157,-0.4002535925612848
3,541425,5699181,8.759353202282815,5.713229078613694,1.4321639898562974,7.464497041420119,5.888818431621222,5.81135066582118,,
4,544570,5714696,-30.230718811448547,-28.76953125,-28.56293402777778,-30.34743923611111,-30.74457465277778,-29.72677951388889,-27.39605734767025,-27.24001736111111
5,546689,5730284,8.789592033408288,5.35085653104925,3.034475374732334,8.40728051391863,8.31952029125174,8.256879751579397,6.801000434971727,3.6297548605240912
6,547219,5718950,6.243394631156204,2.253426124197002,-0.6968607969559243,4.230769230769231,4.143310082435003,3.498837455083492,2.4535706626635214,-0.5701606086221471
7,547517,5718898,7.471570492496301,3.648985629754861,1.6180511519763263,5.528846153846154,6.263897696047347,4.77863482671175,4.048573879476732,0.9070160608622148
8,548021,5722952,6.5523075275725455,3.744539614561028,0.7752676659528908,5.872162740899357,5.504443730592141,5.115215761858871,3.692040017398869,-1.507185122569738
9,548581,5707508,-30.79637317019882,-30.02170138888889,-29.297526041666668,-30.06532118055556,-30.408854166666668,-29.35947002606429,,
10,552708,5695847,13.28664739265446,9.810278372591007,6.259207708779443,11.965096359743042,9.983081700396188,8.499250214224507,8.871729888816219,6.800295857988166
10,552708,5695847,13.28664739265446,9.810278372591007,6.259207708779443,11.965096359743042,9.983081700396188,8.499250214224507,8.871729888816219,16.75173611111111
11,556017,5733628,13.055686949043215,7.557063672541217,3.7919272313814663,10.527998862990335,13.288557213930348,11.363929723915382,9.459669229653272,1.7713440405748098
12,556380,5675741,220.55598958333331,218.34700520833331,216.91037326388889,216.39908854166663,217.0338354071164,214.61929709670375,217.2713393476752,229.9328947368421
13,556602,5687667,24.18706597222222,,9.895616319444445,16.48394097222222,20.01088139281828,18.637369791666668,,
14,557108,5687533,17.25597125343479,13.758453085376162,10.252852916314454,16.516906170752325,13.591735362502645,14.292010145846543,14.478386785369516,10.476754015215551
15,557210,5686344,221.29166666666663,220.16286789112635,,,,,,
16,558233,5682809,220.79817708333331,219.84266493055557,218.54058159722223,219.25368923611111,215.73089483997387,216.31987847222223,,
17,559271,5746165,10.982906446711526,-0.3977624024731341,0.4355056499182716,7.247441728254691,6.9031203354893735,6.870362473347548,4.39108049311095,1.852282333051564
18,559833,5710645,-29.8064234214551,-29.38311265465596,-29.43294270833333,-28.99392361111111,-29.255859375,-27.28732638888889,,
19,560012,5710671,9.117999785844308,5.323340471092077,3.2751900631759288,7.090471092077088,7.559160509690545,6.3100642398286935,5.268406742794998,3.008664412510566
20,567116,5695350,20.19605953528215,14.946145610278371,11.77535067994432,17.767344753747324,15.377128172181177,15.18051391862955,-141.78571428571428,25.16037326388889
20,567116,5695350,20.19605953528215,14.946145610278371,11.77535067994432,17.767344753747324,15.377128172181177,15.18051391862955,-141.78571428571428,13.636306001690617
21,567274,5732426,-15.32176759410802,-15.798828125,-22.477647569444443,-20.772135416666668,-16.45160590277778,-19.05298588490771,,
22,568360,5757300,4.804497189256715,4.725908706677937,5.003170577045022,5.268174133558749,4.425491439441979,4.741546914623838,5.0606637074614245,5.140743871513102
23,569191,5760650,10.88259548611111,11.07421875,11.32400173611111,11.54665798611111,10.790364583333334,11.123046875,,
24,569683,5716519,10.777977385607102,6.475274725274725,2.3804692454026632,8.439983093829248,8.395265271612766,7.437585878871155,6.492596566523605,4.045435333896872
24,569683,5716519,10.777977385607102,6.475274725274725,2.3804692454026632,8.439983093829248,8.395265271612766,7.437585878871155,6.492596566523605,15.542770299609206
25,569978,5699855,22.8711688860706,18.878381234150464,15.506552525893046,20.83030431107354,18.6288311139294,18.45138448530966,18.507238605898124,15.209213863060016
26,570710,5757331,11.495032762629464,11.668427726120036,10.96196111580727,11.244505494505496,10.406679348974846,10.729923922231617,11.038681039949273,11.11052409129332
27,571218,5742305,17.62137273798051,9.358029978586725,4.237070350144555,21.73758029978587,13.017667844522968,11.379351422898743,11.05284136203166,8.001267962806425
27,571218,5742305,17.62137273798051,9.358029978586725,4.237070350144555,21.73758029978587,13.017667844522968,11.379351422898743,11.05284136203166,27.76136363636364
28,571389,5694632,21.833922261484098,18.062098501070665,14.932005568047972,21.29593147751606,18.11403790555734,17.793147751605996,-125.92857142857144,13.184911242603553
28,571389,5694632,21.833922261484098,18.062098501070665,14.932005568047972,21.29593147751606,18.11403790555734,17.793147751605996,-125.92857142857144,31.60329861111111
29,571676,5753731,12.861128725428028,13.028951817413356,11.33291058972733,11.624894336432796,10.78017332487846,11.079036348267117,11.395053899809763,11.47823330515638
30,574616,5706661,8.954491915622658,4.856745182012848,3.2071956312239,7.244432548179872,7.076667737445122,5.31627408993576,4.315548780487805,3.223795435333897
31,575133,5757544,11.532234199957726,11.698013524936602,11.96977383217079,12.247464074387151,11.418938913548931,11.736897717666947,12.027055590784189,12.102493660185967
31,575133,5757544,11.532234199957726,11.698013524936602,11.96977383217079,12.247464074387151,11.418938913548931,11.736897717666947,12.027055590784189,18.532618409294013
32,575378,5758394,11.518072289156626,11.680684699915467,,,,,,
33,576116,5754686,14.173747622067216,14.305579036348266,14.58719086873811,14.854395604395604,14.062566053688435,14.35629754860524,14.650391037835552,14.719568892645816
34,576756,5691113,24.903308705428845,20.99197002141328,17.83188778241782,24.518522483940043,21.478530891958453,21.035867237687366,20.37074497009244,18.15490278951817
35,576843,5717533,18.87673611111111,7.9213062098501075,5.556483563550701,10.043147751605996,9.905557340186316,8.619993268259845,7.8282762370853725,6.396449704142012
36,576917,5759136,19.319575719386684,13.711449579831934,10.259356602186712,17.88282234355313,16.260841631866366,15.541776142932212,14.619195710455765,11.9792899408284
36,576917,5759136,19.319575719386684,13.711449579831934,10.259356602186712,17.88282234355313,16.260841631866366,15.541776142932212,14.619195710455765,26.29296875
37,577010,5756544,14.426548298456986,14.517751479289942,,,,,,
38,577763,5741589,60.2285986049461,57.504967237370536,48.23490364025696,58.741625277396174,58.69594166138237,55.72956972195792,60.62911704752709,54.47981399281336
39,578243,5757457,11.3713802578736,11.560016906170752,,,,,,
40,579147,5723770,12.416886822360771,8.256022823330516,5.211900232508984,9.892328825021131,9.770661593743394,9.349117429447205,8.825643776824034,6.384826711749788
41,579536,5725984,-12.350477430555555,-14.955289951305888,,,,,,
42,579806,5757030,30.18511284722222,14.51017130620985,10.665988652178568,18.506049898276046,16.89849020237713,16.043170103092784,16.199978543074778,13.013736263736265
43,579968,5753920,17.989008666243922,18.109044801352493,,,,,,
44,580896,5707333,9.586345381526105,5.72495773457312,1.8392517438173748,8.882924767540151,8.712111604311986,7.557340661663672,6.79087982832618,4.173922231614539
45,581080,5692490,24.693543205910697,20.727301927194866,17.94742477781347,24.326873661670238,20.94796016704144,21.90160404779847,22.018066010422697,17.59594251901944
46,582772,5703850,9.998179676624906,5.925160599571735,4.623514294892387,8.962098501070663,9.500588928150766,-3.999606712113267,4.463538363982245,4.197590870667794
47,583248,5715522,5.300998263888889,3.8917100694444446,2.693142361111111,10.75824652777778,10.414713541666666,-3.881764833731797,,
48,583307,5750805,19.68103994927077,19.753169907016066,20.04628064243449,20.33748943364328,19.561192136968927,19.822273879966183,20.112238427393784,20.19885883347422
49,584172,5694908,25.856689917565,21.245033812341504,18.42538575354048,25.052409129332208,21.295603466497568,20.567216233354472,21.17020592020592,18.119611158072697
50,584558,5750159,11.265060240963855,11.485629754860524,11.811033608116675,12.021132713440403,11.175649968294229,11.549873203719358,11.84717818642993,11.877218934911244
51,584630,5749656,18.007398013105053,18.07459847844463,18.374683009298398,18.65017966603255,17.88755020080321,18.142434488588336,18.43162122172902,18.535827520608752
52,585151,5702016,4.738444687842279,2.9862774994554564,2.91015625,9.98589409722222,10.527035830618892,-4.6750651607298,,
53,585554,5697845,4.583132530120482,1.8525739320920045,2.8090650317495074,9.496744791666666,10.98588797221016,-4.581841990397207,5.421727395411606,3.2905815972222223
54,585954,5752601,25.307894736842105,19.240900483904905,14.684471133586175,24.47136842105263,21.8013705964236,20.84347001159481,20.526287553648068,16.245562130177515
55,586550,5772806,12.400358120918474,6.4106239460371,3.6339511373209774,9.805982725932168,8.762715494164258,8.679267136990628,6.528755364806867,4.577345731191885
56,588178,5688400,34.943044906900326,22.891732283464567,17.630208333333332,26.05425347222222,21.01844618055556,18.95290798611111,,
57,588343,5792203,1.5113083914605792,1.5306424344885885,,,,,,
58,588452,5740189,62.478515625,55.07790798611112,36.59071180555556,59.93706597222222,56.55924479166666,50.67947048611112,59.06094906399652,59.574435763888886
59,589642,5683578,36.01498696785404,26.093804537521816,20.187105205837508,35.45916594265856,30.68793402777778,23.638966697790227,,
60,590045,5746981,22.06150919467343,22.084530853761624,23.409551986475066,23.67871485943775,22.95159585711266,23.17371090448013,23.45625528317836,23.539420841259776
61,590411,5749466,22.51004016064257,22.551352493660183,22.863482671174975,23.146269287677026,22.3853307968717,22.626796280642434,22.90405748098056,22.994928148774303
62,590594,5680409,37.51693989071038,27.48567708333333,21.109375,34.94441934026209,30.83810763888889,25.58563899868248,25.85483870967742,36.647786458333336
63,591082,5723262,6.939453125,4.047743055555555,2.096571180555556,11.5885564533741,12.10418927718689,-2.0572177331295043,4.25211097708082,3.4824656937486385
64,591856,5746493,33.93352356795604,27.90828402366864,22.55156382079459,33.97083377364472,30.222468822659057,28.568347605455124,28.6640154772141,22.94336432797971
65,592817,5750735,32.99631734006734,26.705214465937765,21.570466266708767,33.025365750973585,29.15611949887568,27.99177562210038,27.93291832134808,23.03825021132713
66,596608,5726642,7.308810763888889,5.143880208333333,2.652560763888889,11.78146701388889,12.483289930555555,-1.3245652173913045,,
67,597556,5749665,24.843373493975903,24.841927303465766,25.1718089602705,25.45097210481826,24.701965757767915,24.928782755705832,25.213863060016905,25.328260410061297
68,597746,5676059,39.54253472222222,29.87521701388889,24.522135416666668,37.78190104166666,32.509765625,28.362508309328607,,
69,598252,5728077,61.73124075248362,58.19255971253435,48.26949904882689,60.98732037193576,59.359015007398014,55.90169133192389,60.93906233236777,54.865144789685054
70,600028,5743160,44.331113929401816,38.35270498732037,31.270604395604398,45.13274149228493,40.794863665187066,38.39712412772256,45.71428571428572,52.22721354166666
70,600028,5743160,44.331113929401816,38.35270498732037,31.270604395604398,45.13274149228493,40.794863665187066,38.39712412772256,45.71428571428572,34.26315789473684
71,600742,5751656,26.11939983093829,26.077768385460693,26.412597759458887,26.68131868131868,25.934686112872544,26.151310228233307,26.430896027049872,26.55463961107588
72,603100,5813724,10.52029079861111,2.998806423611111,0.5302734375,7.645182291666667,5.647786458333333,7.248677248677248,-1.753400906908509,-2.9015007398013104
73,603140,5753205,36.55072006727636,30.150546677880573,24.35996635828427,37.89006942983379,32.33793768069386,30.772703356834683,31.10520107238606,28.76453181145635
73,603140,5753205,36.55072006727636,30.150546677880573,24.35996635828427,37.89006942983379,32.33793768069386,30.772703356834683,31.10520107238606,42.92252604166666
74,605633,5813598,15.776392264609532,8.784657650042265,5.767962806424345,12.989642781652927,9.48129359543437,10.874022405411118,7.349383378016085,7.017966603255125
