ID,Year,AvgTemp,AvgRain,avgCO2World,seaLevel
193,1991,9.5,716,0.929410466,184.0333
194,1992,10.5,957,4.164516244,188.0
195,1993,9.6,929,-0.394433332,184.8
196,1994,10.6,1036,1.512173906,182.0333
197,1995,10.4,798,2.113817163,188.0333
198,1996,8.6,614,2.684585473,197.1333
199,1997,10.3,786,13.45212135,197.9
200,1998,10.4,1307,15.21258297,202.5333
201,1999,10.9,977,6.957003572,195.9
202,2000,10.9,975,6.097657902,196.0333
203,2001,10.4,1091,5.580386588,203.5667
204,2002,10.8,988,12.65532292,201.6
205,2003,10.3,648,16.19090625,208.7667
206,2004,10.3,910,19.42533716,212.6333
207,2005,10.7,873,23.49824402,215.0
208,2006,11.2,867,27.2226711,211.0333
209,2007,11.2,1033,30.72077007,208.7667
210,2008,10.6,943,27.28663,221.9333
211,2009,10.5,833,25.94268428,223.7
212,2010,9.1,901,33.16302371,243.1577
213,2011,10.9,962,38.07881404,241.7287
214,2012,10.3,973,40.00330807,238.581
