ID,Year,AvgTemp,AvgRain,avgCO2World
108,1906,9.3,742,undefined
109,1907,8.7,680,undefined
110,1908,8.6,659,undefined
111,1909,8.4,850,undefined
112,1910,9.5,836,undefined
113,1911,9.9,656,undefined
114,1912,9.3,1051,undefined
115,1913,9.7,736,undefined
116,1914,9.7,804,undefined
117,1915,8.8,914,undefined
118,1916,9.3,917,undefined
119,1917,8.4,803,undefined
120,1918,9.3,907,undefined
121,1919,8.1,759,undefined
122,1920,9.3,656,undefined
123,1921,9.9,407,undefined
124,1922,8.3,665,undefined
125,1923,8.7,861,undefined
126,1924,8.6,796,undefined
127,1925,9.2,921,undefined
128,1926,9.7,728,undefined
129,1927,8.9,895,undefined
130,1928,9.3,834,undefined
131,1929,8.3,645,undefined
132,1930,9.7,931,undefined
133,1931,8.8,789,undefined
134,1932,9.4,760,undefined
135,1933,9,522,undefined
136,1934,10.2,728,undefined
137,1935,9.7,939,undefined
138,1936,9.5,766,undefined
139,1937,9.5,745,undefined
140,1938,9.7,801,undefined
141,1939,9.6,859,undefined
142,1940,8.1,840,undefined
143,1941,8.7,762,undefined
144,1942,8.3,800,undefined
145,1943,9.6,686,undefined
146,1944,9.5,828,undefined
147,1945,10,824,undefined
148,1946,9.1,818,undefined
149,1947,9.5,751,undefined
150,1948,9.9,738,undefined
151,1949,10,667,undefined
152,1950,9.4,951,undefined
153,1951,9.8,810,undefined
154,1952,9,792,undefined
155,1953,9.9,607,undefined
156,1954,9.1,818,undefined
157,1955,9,660,undefined
158,1956,8.2,752,undefined
159,1957,9.7,924,undefined
160,1958,9.2,829,undefined
161,1959,9.9,539,undefined
162,1960,9.6,928,undefined
163,1961,9.8,912,undefined
164,1962,8.1,765,undefined
165,1963,7.8,777,undefined
166,1964,8.9,748,undefined
167,1965,8.5,1160,undefined
168,1966,9.4,1143,undefined
169,1967,9.9,856,undefined
170,1968,9.1,863,undefined
171,1969,9.5,748,undefined
172,1970,9.1,909,undefined
173,1971,9.5,562,undefined
174,1972,8.8,656,undefined
175,1973,9.3,780,undefined
176,1974,9.7,993,undefined
177,1975,9.8,628,undefined
178,1976,10,542,undefined
179,1977,9.8,813,undefined
180,1978,9,645,undefined
181,1979,8.5,873,undefined
182,1980,9.3,863,undefined
183,1981,9.2,992,undefined
184,1982,10.1,635,undefined
185,1983,10.1,891,undefined
186,1984,9.5,890,undefined
187,1985,8.5,727,undefined
188,1986,9,834,undefined
189,1987,8.9,976,undefined
190,1988,10.3,933,undefined
191,1989,10.7,718,undefined
192,1990,10.9,764,undefined
193,1991,9.5,716,0.929410466
194,1992,10.5,957,4.164516244
195,1993,9.6,929,-0.394433332
196,1994,10.6,1036,1.512173906
197,1995,10.4,798,2.113817163
198,1996,8.6,614,2.684585473
199,1997,10.3,786,13.45212135
200,1998,10.4,1307,15.21258297
201,1999,10.9,977,6.957003572
202,2000,10.9,975,6.097657902
203,2001,10.4,1091,5.580386588
204,2002,10.8,988,12.65532292
205,2003,10.3,648,16.19090625
206,2004,10.3,910,19.42533716
207,2005,10.7,873,23.49824402
208,2006,11.2,867,27.2226711
209,2007,11.2,1033,30.72077007
210,2008,10.6,943,27.28663
211,2009,10.5,833,25.94268428
212,2010,9.1,901,33.16302371
213,2011,10.9,962,38.07881404
214,2012,10.3,973,40.00330807
215,2013,9.8,934,undefined
216,2014,11.7,952,undefined
