ID,Year,AvgTemp,AvgRain,avgCO2World
193,1991,9.5,716,0.929410466
194,1992,10.5,957,4.164516244
195,1993,9.6,929,-0.394433332
196,1994,10.6,1036,1.512173906
197,1995,10.4,798,2.113817163
198,1996,8.6,614,2.684585473
199,1997,10.3,786,13.45212135
200,1998,10.4,1307,15.21258297
201,1999,10.9,977,6.957003572
202,2000,10.9,975,6.097657902
203,2001,10.4,1091,5.580386588
204,2002,10.8,988,12.65532292
205,2003,10.3,648,16.19090625
206,2004,10.3,910,19.42533716
207,2005,10.7,873,23.49824402
208,2006,11.2,867,27.2226711
209,2007,11.2,1033,30.72077007
210,2008,10.6,943,27.28663
211,2009,10.5,833,25.94268428
212,2010,9.1,901,33.16302371
213,2011,10.9,962,38.07881404
214,2012,10.3,973,40.00330807
